fecha,tmed,tmin,tmax,hrMedia,tmed_max,tmed_min,tmed_mean,tmin_max,tmin_min,tmin_mean,tmax_max,tmax_min,tmax_mean,hrMedia_max,hrMedia_min,hrMedia_mean,estacion_Invierno,estacion_Otoño,estacion_Primavera,estacion_Verano,mes
2022-10-24,22.200000762939453,19.200000762939453,25.100000381469727,79.0,22.200000762939453,17.200000762939453,19.35000006357829,19.399999618530273,14.0,16.266666730244953,25.100000381469727,20.399999618530273,22.46666685740153,84.0,70.0,77.5,False,True,False,False,10
2022-10-25,22.899999618530273,19.100000381469727,26.700000762939453,45.0,22.899999618530273,17.600000381469727,19.483333269755047,19.100000381469727,13.5,16.39999993642171,26.700000762939453,20.899999618530273,22.516666730244953,91.0,45.0,73.83333333333333,False,True,False,False,10
2022-10-26,22.299999237060547,19.0,25.600000381469727,42.0,22.299999237060547,17.799999237060547,19.583333333333332,19.0,13.0,15.949999650319418,25.600000381469727,21.200000762939453,23.199999809265137,87.0,42.0,69.16666666666667,False,True,False,False,10
2022-10-27,22.799999237060547,18.0,27.600000381469727,52.0,22.799999237060547,17.600000381469727,19.616666793823242,19.600000381469727,13.899999618530273,16.100000222524006,27.600000381469727,21.0,23.083333333333332,74.0,42.0,61.166666666666664,False,True,False,False,10
2022-10-28,20.799999237060547,17.100000381469727,24.5,72.0,20.799999237060547,16.600000381469727,18.499999682108562,17.100000381469727,13.199999809265137,15.03333330154419,24.5,19.700000762939453,21.46666653951009,81.0,58.0,71.16666666666667,False,True,False,False,10
2022-10-29,20.200000762939453,18.100000381469727,22.399999618530273,76.0,20.200000762939453,17.200000762939453,18.200000127156574,18.100000381469727,13.399999618530273,14.850000063578287,22.399999618530273,18.600000381469727,21.03333314259847,87.0,64.0,73.33333333333333,False,True,False,False,10
2022-10-30,20.600000381469727,18.100000381469727,23.0,77.0,21.200000762939453,17.0,19.39999993642171,19.600000381469727,13.199999809265137,16.43333355585734,24.200000762939453,19.200000762939453,22.18333371480306,83.0,53.0,72.5,False,True,False,False,10
2022-10-31,20.0,18.799999237060547,21.299999237060547,82.0,21.100000381469727,17.30000114440918,19.100000381469727,19.5,14.0,16.916666507720947,26.200000762939453,18.799999237060547,21.71666685740153,87.0,64.0,76.83333333333333,False,True,False,False,10
2022-11-01,20.700000762939453,17.299999237060547,24.100000381469727,80.0,20.700000762939453,18.200000762939453,19.450000127156574,18.799999237060547,14.399999618530273,16.6833332379659,25.0,20.0,22.866666793823242,88.0,66.0,79.5,False,True,False,False,11
2022-11-02,20.399999618530273,16.5,24.299999237060547,83.0,20.399999618530273,17.100000381469727,19.35000006357829,17.799999237060547,13.899999618530273,16.349999745686848,24.299999237060547,20.299999237060547,22.35000006357829,88.0,70.0,81.5,False,True,False,False,11
